name,genre,active,contact,link,keywords
Revival Disability Magazine,Magazine,2020,,https://www.instagram.com/revivaldisabilitymag/,"queer narratives, disability"
Queer Adda,Support Group,2020,,https://www.facebook.com/qamumbai/,"queer narratives, community"
Queeristaan,Magazine,2020,queeristaan@gmail.com,https://queeristaan.org/,"queer narratives, community"
Himachal Queer Collective,Support Group,2021,himachalqueercollective@gmail.com,https://www.instagram.com/himachalqueercollective/,"queer narratives, community"
Wansa: We Are Listening,Support Group,2021,perspective@gmail.com,https://themindclan.com/sharing_spaces/wansa-20042021/,"women's narratives, violence"
The Indian Women's Project,Digital Archive,2021,indianwomenproject@gmail.com,https://www.theindianwomensproject.com/,"women's narratives, archive, feminist historiography"
The Indian Queer Project,Digital Archive,2021,,https://www.facebook.com/theindianqueerproject,"queer narratives, feminist historiography, archive"
The Indian Gender Project,Digital Archive,2021,theindiangenderproject@gmail.com,https://www.theindiangenderproject.com/,"community, education, activism"
"QAHAANI- Queer Affirmative Healthcare Advocacy Action Network, India.",Digital Advocacy,2021,,https://www.instagram.com/qahaan.i/,"queer narratives, sexual and reproductive health, education"
Dhoopbisscuitzine,Magazine,2021,,https://issuu.com/dhoopbisscuitzine,"women, art, writing"
Land of Maveli,Art Project,2021,contact@mavelinaducollective.com,https://mavelinaducollective.com/,"art, caste, economy"
Drishti: A Queer Collective,Community,2021,,https://www.instagram.com/drishtiaqueercollective/,"queer narratives, community, activism"
"Feminist Law Archives: Chronicling the Engagement of the Women's Movement with Law
",Digital Archive,,admin@pldindia.org,http://feministlawarchives.pldindia.org/,"women, law, archive"
LGBTQ India Resource,Digital Archive,,bhagirathkhuman@yahoo.com,https://lgbtqindiaresource.in/,"archive, community, society"
Women's Studies Portal,Digital Archive,,,http://www.womenstudies.in/orgs/ugcwsc_org1.htm,"women, education"
Rainbow Manipur,Blog,,,https://rainbowmanipur.wordpress.com/,"queer narratives, society, economy"
